Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Effect_Level_1,Effect_Level_2,Effect_Level_3,Effect_Level_4,Effect_Level_5,Flavor_1,Flavor_2,Flavor_3,Leafly_Name,Medicinal_1,Medicinal_2,Medicinal_3,Medicinal_4,Medicinal_5,Medicinal_Level_1,Medicinal_Level_2,Medicinal_Level_3,Medicinal_Level_4,Medicinal_Level_5,Name,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Negative_Level_1,Negative_Level_2,Negative_Level_3,Negative_Level_4,Negative_Level_5,Number_of_Reviews,Rating,Type
Relaxed,Creative,Euphoric,Happy,Uplifted,width:100%,width:92%,width:92%,width:92%,width:92%,1. Citrus,2. Earthy,3. Pine,999,Stress,Spasticity,Depression,Seizures,Muscle Spasms,width:100%,width:100%,width:96%,width:92%,width:92%,999,Anxious,Dry Eyes,Dry Mouth,Paranoid,Dizzy,width:100%,width:93%,width:93%,width:26%,width:23%,3,4.3,Indica
Happy,Hungry,Euphoric,Sleepy,Creative,width:100%,width:95%,width:87%,width:60%,width:53%,1. Pungent,2. Skunk,3. Ammonia,A10,Insomnia,Pain,Stress,Nausea,Lack of Appetite,width:100%,width:91%,width:87%,width:69%,width:38%,A-10,Dry Mouth,Dry Eyes,Anxious,Paranoid,Dizzy,width:100%,width:75%,width:61%,width:15%,width:13%,163,3.9,Indica
Euphoric,Aroused,Happy,Creative,Talkative,width:100%,width:85%,width:66%,width:50%,width:49%,1. Earthy,2. Diesel,3. Sweet,Adb,Stress,Pain,Fatigue,Depression,Insomnia,width:100%,width:100%,width:82%,width:20%,width:11%,A-Dub,Dry Mouth,Dry Eyes,Anxious,Headache,,width:100%,width:52%,width:6%,width:6%,,65,4.5,Hybrid
Happy,Relaxed,Creative,Euphoric,Uplifted,width:100%,width:67%,width:67%,width:65%,width:63%,1. Earthy,2. Flowery,3. Ammonia,Atr,Depression,Pain,Stress,Insomnia,Lack of Appetite,width:100%,width:99%,width:17%,width:8%,width:8%,A-Train,Dry Mouth,Dry Eyes,Paranoid,Dizzy,Anxious,width:100%,width:6%,width:4%,width:3%,width:2%,80,4.1,Hybrid
Relaxed,Happy,Focused,Uplifted,Sleepy,width:100%,width:68%,width:54%,width:51%,width:31%,1. Earthy,2. Woody,3. Pine,Acd,Pain,Stress,Depression,Inflammation,Fatigue,width:100%,width:91%,width:59%,width:49%,width:36%,ACDC,Dry Mouth,Anxious,Dry Eyes,Paranoid,Dizzy,width:100%,width:39%,width:37%,width:34%,width:28%,722,4.5,Hybrid
Happy,Relaxed,Euphoric,Uplifted,Creative,width:100%,width:85%,width:83%,width:77%,width:68%,1. Earthy,2. Woody,3. Pungent,Ak,Stress,Depression,Pain,Fatigue,Insomnia,width:100%,width:76%,width:63%,width:42%,width:41%,AK-47,Dry Mouth,Dry Eyes,Anxious,Headache,Dizzy,width:100%,width:58%,width:22%,width:19%,width:18%,2706,4.2,Hybrid
Happy,Relaxed,Uplifted,Giggly,Euphoric,width:100%,width:83%,width:71%,width:64%,width:58%,1. Flowery,2. Earthy,3. Sweet,A48,Stress,Depression,Pain,Insomnia,Nausea,width:100%,width:97%,width:56%,width:44%,width:40%,AK-48,Dry Mouth,Dizzy,Headache,Dry Eyes,Paranoid,width:100%,width:67%,width:64%,width:39%,width:8%,193,4.0,Hybrid
Giggly,Aroused,Tingly,Euphoric,Sleepy,width:100%,width:100%,width:100%,width:100%,width:100%,1. Earthy,2. Pungent,3. Woody,A49,Fatigue,Depression,Headaches,Stress,Pain,width:100%,width:60%,width:60%,width:60%,width:40%,AK-49,Anxious,,,,,width:100%,,,,,5,3.4,Sativa
Uplifted,Giggly,Happy,Energetic,Sleepy,width:100%,width:100%,width:75%,width:75%,width:75%,1. Blue Cheese,2. Chemical,3. Menthol,Abd,Cramps,Depression,Fatigue,Headaches,Lack of Appetite,width:100%,width:100%,width:100%,width:100%,width:100%,Aberdeen,Anxious,Dry Eyes,Dry Mouth,,,width:100%,width:50%,width:50%,,,8,4.4,Hybrid
Relaxed,Happy,Sleepy,Euphoric,Uplifted,width:100%,width:67%,width:58%,width:57%,width:25%,1. Earthy,2. Pungent,3. Lavender,Abu,Stress,Insomnia,Pain,Depression,Headaches,width:100%,width:85%,width:80%,width:76%,width:50%,Abusive OG,Dry Mouth,Dry Eyes,Dizzy,Anxious,Headache,width:100%,width:31%,width:15%,width:5%,width:5%,148,4.6,Indica
