Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Effect_Level_1,Effect_Level_2,Effect_Level_3,Effect_Level_4,Effect_Level_5,Flavor_1,Flavor_2,Flavor_3,Leafly_Name,Medicinal_1,Medicinal_2,Medicinal_3,Medicinal_4,Medicinal_5,Medicinal_Level_1,Medicinal_Level_2,Medicinal_Level_3,Medicinal_Level_4,Medicinal_Level_5,Name,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Negative_Level_1,Negative_Level_2,Negative_Level_3,Negative_Level_4,Negative_Level_5,Number_of_Reviews,Rating,Type
Euphoric,Uplifted,Energetic,Focused,Happy,width:100%,width:96%,width:96%,width:94%,width:54%,,,,Jk,Depression,Pain,Lack of Appetite,Fatigue,Stress,width:100%,width:99%,width:97%,width:96%,width:55%,Jack Kush,Dry Eyes,Dry Mouth,Dizzy,Anxious,Headache,width:100%,width:90%,width:20%,width:10%,width:10%,36,4.1,Hybrid
Happy,Talkative,Euphoric,Energetic,Uplifted,width:100%,width:99%,width:99%,width:93%,width:91%,1. Earthy,2. Diesel,3. Citrus,Jsk,Stress,Depression,Fatigue,Nausea,Headaches,width:100%,width:94%,width:78%,width:41%,width:37%,Jack Skellington,Dry Mouth,Anxious,Paranoid,Dizzy,Headache,width:100%,width:86%,width:45%,width:29%,width:21%,101,4.6,Sativa
Happy,Energetic,Focused,Relaxed,Hungry,width:100%,width:69%,width:59%,width:45%,width:35%,1. Earthy,2. Blueberry,3. Flowery,Jsm,Stress,Lack of Appetite,Depression,Fatigue,Headaches,width:100%,width:89%,width:21%,width:10%,width:10%,Jack Smack,Dry Mouth,Dry Eyes,Anxious,,,width:100%,width:46%,width:6%,,,9,5.0,Sativa
Relaxed,Sleepy,Happy,Uplifted,Euphoric,width:100%,width:97%,width:36%,width:31%,width:29%,1. Sweet,2. Mango,3. Earthy,Jw,Stress,Pain,Nausea,Depression,Insomnia,width:100%,width:73%,width:42%,width:36%,width:36%,Jack Widow,Dry Mouth,Dry Eyes,Dizzy,Paranoid,,width:100%,width:73%,width:10%,width:5%,,38,4.3,Hybrid
Uplifted,Energetic,Euphoric,Giggly,Relaxed,width:100%,width:82%,width:68%,width:61%,width:37%,1. Woody,2. Citrus,3. Earthy,Jwr,Eye Pressure,Pain,Depression,Stress,Lack of Appetite,width:100%,width:42%,width:38%,width:33%,width:16%,Jack Wreck,Dry Mouth,Paranoid,Dry Eyes,Dizzy,,width:100%,width:47%,width:25%,width:0%,,31,4.5,Sativa
Creative,Euphoric,Focused,Happy,Relaxed,width:100%,width:100%,width:100%,width:100%,width:100%,1. Earthy,2. Pungent,3. Sweet,JoS,,,,,,,,,,,Jack of Spades,,,,,,,,,,,3,4.7,Hybrid
Happy,Energetic,Creative,Euphoric,Uplifted,width:100%,width:81%,width:80%,width:76%,width:73%,1. Lemon,2. Pine,3. Citrus,Jtr,Stress,Depression,Pain,Fatigue,Lack of Appetite,width:100%,width:77%,width:53%,width:31%,width:21%,Jack the Ripper,Dry Mouth,Dry Eyes,Anxious,Paranoid,Dizzy,width:100%,width:36%,width:35%,width:32%,width:17%,418,4.3,Sativa
Relaxed,Happy,Energetic,Euphoric,Uplifted,width:100%,width:88%,width:70%,width:67%,width:64%,1. Citrus,2. Lemon,3. Lime,Jkc,Pain,Depression,Inflammation,Stress,Fatigue,width:100%,width:86%,width:68%,width:51%,width:27%,Jack's Cleaner,Dry Mouth,Dry Eyes,Paranoid,Anxious,Dizzy,width:100%,width:55%,width:5%,width:4%,width:2%,78,4.2,Sativa
Energetic,Focused,Uplifted,Happy,Euphoric,width:100%,width:100%,width:91%,width:15%,width:14%,1. Pine,2. Sweet,3. Berry,Jkd,Depression,Fatigue,Pain,Stress,Cramps,width:100%,width:100%,width:98%,width:98%,width:12%,Jack's Dream,Paranoid,Anxious,Dry Mouth,Dizzy,Dry Eyes,width:100%,width:92%,width:35%,width:14%,width:7%,21,4.3,Hybrid
Happy,Energetic,Talkative,Uplifted,Euphoric,width:100%,width:97%,width:97%,width:95%,width:7%,1. Citrus,2. Earthy,3. Flowery,Jlp,Depression,Stress,Fatigue,Headaches,Insomnia,width:100%,width:83%,width:50%,width:50%,width:33%,Jackalope,Dizzy,Dry Mouth,Dry Eyes,Paranoid,Headache,width:100%,width:75%,width:50%,width:50%,width:25%,12,4.3,Sativa
Happy,Energetic,Euphoric,Hungry,Relaxed,width:100%,width:89%,width:80%,width:78%,width:77%,1. Woody,2. Pungent,3. Earthy,Ju,Stress,Depression,Muscle Spasms,Lack of Appetite,Insomnia,width:100%,width:85%,width:79%,width:60%,width:39%,Jacked-Up,Dry Mouth,Dizzy,Headache,Dry Eyes,Anxious,width:100%,width:23%,width:23%,width:17%,width:10%,20,4.1,Hybrid
Aroused,Creative,Energetic,Euphoric,Focused,width:100%,width:100%,width:100%,width:100%,width:100%,1. Citrus,,,Jkg,Depression,Eye Pressure,Fatigue,Inflammation,Stress,width:100%,width:100%,width:100%,width:100%,width:100%,Jacky Girl,Anxious,Dizzy,Dry Mouth,,,width:100%,width:100%,width:100%,,,1,4.0,Hybrid
Relaxed,Uplifted,Happy,Talkative,Hungry,width:100%,width:59%,width:51%,width:43%,width:39%,1. Earthy,2. Flowery,3. Tropical,Jwh,Stress,Depression,Pain,Lack of Appetite,Nausea,width:100%,width:95%,width:93%,width:84%,width:11%,Jacky White,Dry Mouth,Anxious,Dizzy,Dry Eyes,Paranoid,width:100%,width:2%,width:2%,width:2%,width:1%,56,4.4,Sativa
Energetic,Giggly,Happy,Hungry,,width:100%,width:100%,width:100%,width:100%,,1. Earthy,2. Spicy/Herbal,3. Woody,Jdg,Headaches,,,,,width:100%,,,,,Jack’s Dragon Girl #7,Dizzy,Dry Eyes,Headache,,,width:100%,width:100%,width:100%,,,1,3.0,Hybrid
Creative,Energetic,Uplifted,Euphoric,Aroused,width:100%,width:100%,width:100%,width:66%,width:33%,1. Lemon,2. Citrus,3. Honey,Jgi,Depression,Pain,Stress,,,width:100%,width:100%,width:100%,,,Jack’s Girl,,,,,,,,,,,3,5.0,Hybrid
Sleepy,Relaxed,Happy,Hungry,Euphoric,width:100%,width:78%,width:62%,width:48%,width:18%,1. Diesel,2. Pungent,3. Earthy,Jhg,Stress,Pain,Eye Pressure,Depression,Insomnia,width:100%,width:90%,width:19%,width:19%,width:19%,Jah Goo,Dry Eyes,Dry Mouth,Dizzy,Anxious,Headache,width:100%,width:27%,width:11%,width:5%,width:5%,18,4.4,Indica
Happy,Euphoric,Uplifted,Creative,Giggly,width:100%,width:92%,width:71%,width:61%,width:61%,,,,Jah,Stress,Headaches,Fatigue,Depression,Pain,width:100%,width:82%,width:81%,width:22%,width:18%,Jah Kush,Dry Mouth,Headache,Dry Eyes,Paranoid,Dizzy,width:100%,width:19%,width:3%,width:1%,width:0%,86,4.6,Hybrid
Aroused,Energetic,Creative,Euphoric,Happy,width:100%,width:100%,width:100%,width:95%,width:95%,1. Tropical,2. Sweet,3. Earthy,Jwn,Depression,Stress,Eye Pressure,Fatigue,Nausea,width:100%,width:100%,width:94%,width:94%,width:94%,Jahwaiian,Anxious,Dizzy,Dry Eyes,Dry Mouth,Headache,width:100%,width:100%,width:5%,width:5%,width:5%,4,4.8,Sativa
Uplifted,Creative,Relaxed,Tingly,Happy,width:100%,width:83%,width:77%,width:63%,width:54%,,,,Jam,Depression,Stress,Lack of Appetite,Headaches,Spasticity,width:100%,width:42%,width:40%,width:34%,width:28%,Jamaican,Dry Eyes,Dry Mouth,Dizzy,Headache,Anxious,width:100%,width:32%,width:16%,width:10%,width:3%,62,4.4,Sativa
Energetic,Creative,Focused,Euphoric,Happy,width:100%,width:92%,width:78%,width:74%,width:72%,1. Earthy,2. Citrus,3. Tropical,Jdr,Depression,Fatigue,Stress,Pain,Headaches,width:100%,width:86%,width:74%,width:63%,width:36%,Jamaican Dream,Anxious,Paranoid,Dry Mouth,Dizzy,Dry Eyes,width:100%,width:78%,width:51%,width:24%,width:24%,89,4.5,Sativa
Uplifted,Relaxed,Happy,Focused,Creative,width:100%,width:92%,width:69%,width:69%,width:61%,1. Earthy,2. Tropical,3. Nutty,Jl,Stress,Pain,Depression,Muscle Spasms,Fatigue,width:100%,width:85%,width:71%,width:71%,width:57%,Jamaican Lion,Dry Mouth,Headache,Anxious,Dizzy,Dry Eyes,width:100%,width:28%,width:14%,width:14%,width:14%,27,4.7,Sativa
Energetic,Euphoric,Happy,Uplifted,Creative,width:100%,width:69%,width:65%,width:63%,width:61%,1. Earthy,2. Pungent,3. Tropical,Jp,Pain,Fatigue,Stress,Depression,Nausea,width:100%,width:89%,width:48%,width:18%,width:13%,Jamaican Pearl,Dry Mouth,Headache,Anxious,Dry Eyes,Dizzy,width:100%,width:76%,width:74%,width:23%,width:12%,50,4.3,Sativa
Happy,Relaxed,Euphoric,Creative,Giggly,width:100%,width:72%,width:58%,width:44%,width:41%,,,,Jju,Stress,Cramps,Fatigue,Depression,Lack of Appetite,width:100%,width:51%,width:32%,width:16%,width:16%,Jamba Juice,Headache,,,,,width:100%,,,,,5,4.6,Hybrid
Euphoric,Happy,Tingly,Giggly,Uplifted,width:100%,width:100%,width:96%,width:93%,width:86%,,,,Jd,Pain,Depression,Muscle Spasms,Inflammation,Stress,width:100%,width:93%,width:83%,width:80%,width:13%,Jane Doe,Dry Mouth,Dry Eyes,Dizzy,,,width:100%,width:60%,width:19%,,,12,4.4,Hybrid
Euphoric,Relaxed,Happy,Sleepy,Giggly,width:100%,width:100%,width:93%,width:90%,width:77%,,,,Jas,Stress,Nausea,Lack of Appetite,Depression,Pain,width:100%,width:85%,width:71%,width:71%,width:57%,Jasmine,Dry Eyes,,,,,width:100%,,,,,13,4.7,Hybrid
Relaxed,Euphoric,Focused,Uplifted,Energetic,width:100%,width:66%,width:62%,width:62%,width:61%,1. Earthy,2. Skunk,3. Pungent,Jwp,Stress,Pain,Cramps,Depression,Insomnia,width:100%,width:100%,width:71%,width:71%,width:71%,Jawa Pie,Dry Mouth,Dry Eyes,Paranoid,Anxious,Dizzy,width:100%,width:83%,width:33%,width:16%,width:16%,23,4.6,Indica
Giggly,Relaxed,Uplifted,Euphoric,Happy,width:100%,width:71%,width:40%,width:38%,width:38%,,,,Jaz,Stress,Pain,Depression,Inflammation,Fatigue,width:100%,width:98%,width:97%,width:94%,width:2%,Jazz,Dry Mouth,Dry Eyes,Anxious,Dizzy,Headache,width:100%,width:37%,width:25%,width:25%,width:12%,27,4.3,Hybrid
Uplifted,Energetic,Happy,Euphoric,Creative,width:100%,width:87%,width:78%,width:78%,width:68%,1. Lemon,2. Earthy,3. Citrus,Jg,Stress,Depression,Pain,Insomnia,Fatigue,width:100%,width:82%,width:53%,width:47%,width:42%,Jean Guy,Dry Eyes,Dry Mouth,Paranoid,Anxious,Dizzy,width:100%,width:99%,width:73%,width:39%,width:34%,273,4.5,Hybrid
Relaxed,Sleepy,Happy,Euphoric,Hungry,width:100%,width:53%,width:49%,width:45%,width:45%,1. Earthy,2. Pine,3. Pungent,Jed,Stress,Depression,Insomnia,Lack of Appetite,Pain,width:100%,width:74%,width:67%,width:63%,width:63%,Jedi Kush,Dizzy,Dry Mouth,Dry Eyes,Paranoid,Anxious,width:100%,width:96%,width:54%,width:48%,width:18%,314,4.5,Indica
Sleepy,Relaxed,Happy,Uplifted,Euphoric,width:100%,width:28%,width:25%,width:23%,width:21%,1. Grapefruit,2. Sweet,3. Pine,Jyr,Insomnia,Stress,Nausea,Cramps,Pain,width:100%,width:97%,width:42%,width:39%,width:39%,Jelly Roll,Dry Mouth,Dry Eyes,Paranoid,,,width:100%,width:6%,width:6%,,,12,4.8,Indica
Euphoric,Happy,Relaxed,Creative,Energetic,width:100%,width:100%,width:66%,width:33%,width:33%,,,,Jen,Pain,Depression,Headaches,Lack of Appetite,Stress,width:100%,width:50%,width:50%,width:50%,width:50%,Jenni,,,,,,,,,,,5,4.8,Sativa
Relaxed,Uplifted,Creative,Euphoric,Happy,width:100%,width:73%,width:69%,width:65%,width:61%,1. Berry,2. Nutty,3. Earthy,Jnk,Stress,Depression,Pain,Nausea,Lack of Appetite,width:100%,width:85%,width:42%,width:31%,width:27%,Jenny Kush,Dry Mouth,Dry Eyes,Dizzy,Headache,Paranoid,width:100%,width:29%,width:1%,width:1%,width:1%,87,4.6,Hybrid
Creative,Energetic,Focused,Happy,Hungry,width:100%,width:100%,width:100%,width:100%,width:100%,,,,Jer,Depression,Lack of Appetite,Nausea,,,width:100%,width:100%,width:100%,,,Jericho Haze,,,,,,,,,,,1,5.0,Sativa
,,,,,,,,,,,,,Jrs,,,,,,,,,,,Jerusalem Express,,,,,,,,,,,2,5.0,Hybrid
Euphoric,Relaxed,Happy,Uplifted,Aroused,width:100%,width:87%,width:70%,width:29%,width:17%,1. Berry,2. Pungent,3. Sweet,Jsg,Stress,Depression,Inflammation,Nausea,Pain,width:100%,width:87%,width:79%,width:73%,width:73%,Jesse's Girl,Dry Eyes,,,,,width:100%,,,,,9,4.8,Indica
Happy,Relaxed,Uplifted,Aroused,Euphoric,width:100%,width:98%,width:89%,width:79%,width:62%,1. Citrus,2. Pine,3. Earthy,Je,Depression,Insomnia,Stress,Pain,Fatigue,width:100%,width:86%,width:45%,width:39%,width:15%,Jesus,Dry Mouth,Anxious,Dizzy,Dry Eyes,,width:100%,width:90%,width:90%,width:87%,,58,4.6,Hybrid
Relaxed,Happy,Euphoric,Uplifted,Focused,width:100%,width:77%,width:75%,width:69%,width:58%,1. Lemon,2. Citrus,3. Pungent,Jes,Depression,Stress,Pain,Insomnia,Muscle Spasms,width:100%,width:98%,width:92%,width:78%,width:72%,Jesus OG,Dry Mouth,Dry Eyes,Anxious,Dizzy,Paranoid,width:100%,width:46%,width:21%,width:6%,width:5%,363,4.6,Indica
Uplifted,Happy,Relaxed,Euphoric,Energetic,width:100%,width:98%,width:97%,width:92%,width:76%,1. Diesel,2. Pungent,3. Earthy,Jet,Stress,Depression,Pain,Fatigue,Headaches,width:100%,width:98%,width:83%,width:59%,width:41%,Jet Fuel,Dry Mouth,Dry Eyes,Paranoid,Dizzy,Anxious,width:100%,width:43%,width:18%,width:17%,width:13%,422,4.6,Hybrid
Euphoric,Focused,Relaxed,Tingly,Giggly,width:100%,width:84%,width:84%,width:75%,width:24%,1. Pungent,2. Citrus,3. Grape,Jda,Depression,Stress,,,,width:100%,width:100%,,,,Jilly Dawg,Dry Mouth,Dizzy,Dry Eyes,,,width:100%,width:92%,width:92%,,,3,4.7,Hybrid
Happy,Uplifted,Euphoric,Relaxed,Energetic,width:100%,width:85%,width:73%,width:65%,width:56%,1. Citrus,2. Sweet,3. Orange,Jil,Stress,Depression,Pain,Fatigue,Nausea,width:100%,width:88%,width:62%,width:52%,width:35%,Jillybean,Dry Mouth,Dry Eyes,Anxious,Dizzy,Paranoid,width:100%,width:45%,width:28%,width:21%,width:13%,902,4.3,Hybrid
,,,,,,,,,,,,,Jog,,,,,,,,,,,Jim OG,,,,,,,,,,,,,Hybrid
Creative,Uplifted,Euphoric,Happy,Energetic,width:100%,width:88%,width:77%,width:66%,width:44%,1. Citrus,2. Earthy,3. Sweet,Jhx,Lack of Appetite,Stress,Headaches,Depression,Nausea,width:100%,width:100%,width:75%,width:75%,width:50%,Jimi Hendrix,Dry Mouth,Anxious,Dizzy,,,width:100%,width:33%,width:33%,,,24,4.7,Hybrid
Energetic,Happy,Euphoric,Relaxed,Hungry,width:100%,width:84%,width:84%,width:80%,width:80%,1. Berry,2. Sweet,3. Earthy,Jho,Depression,Stress,Fatigue,Lack of Appetite,Nausea,width:100%,width:66%,width:44%,width:44%,width:44%,Jock Horror,Anxious,Dizzy,Paranoid,Dry Eyes,Dry Mouth,width:100%,width:100%,width:96%,width:16%,width:16%,23,4.0,Sativa
,,,,,,,,,,,,,Jdk,,,,,,,,,,,Joe's Dank,,,,,,,,,,,,,Hybrid
,,,,,,,,,,,,,Jlm,,,,,,,,,,,Joe’s Lemonade,,,,,,,,,,,,,Sativa
Focused,Energetic,Sleepy,Happy,Relaxed,width:100%,width:91%,width:89%,width:27%,width:27%,1. Skunk,2. Flowery,3. Pungent,Jt,Pain,Inflammation,Cramps,Stress,Fatigue,width:100%,width:100%,width:11%,width:11%,width:11%,Johnny’s Tonic,Dry Eyes,Dry Mouth,,,,width:100%,width:100%,,,,11,4.7,Sativa
Relaxed,Sleepy,Tingly,Uplifted,Creative,width:100%,width:80%,width:60%,width:40%,width:20%,1. Berry,2. Honey,3. Sweet,Jdi,Insomnia,Depression,Muscle Spasms,Pain,Stress,width:100%,width:80%,width:60%,width:40%,width:40%,Jorge’s Diamond,Dry Mouth,Dry Eyes,,,,width:100%,width:50%,,,,7,4.6,Indica
Relaxed,Happy,Sleepy,Hungry,Euphoric,width:100%,width:65%,width:56%,width:54%,width:49%,1. Blue Cheese,2. Pungent,3. Cheese,Jdo,Depression,Cramps,Pain,Fatigue,Headaches,width:100%,width:80%,width:80%,width:80%,width:80%,Josh D OG,Dry Mouth,Anxious,Dry Eyes,Paranoid,,width:100%,width:6%,width:6%,width:6%,,17,4.1,Indica
Happy,Relaxed,Uplifted,Euphoric,Creative,width:100%,width:82%,width:78%,width:60%,width:43%,1. Sweet,2. Earthy,3. Citrus,Juf,Stress,Depression,Pain,Lack of Appetite,Cramps,width:100%,width:86%,width:50%,width:29%,width:26%,Juicy Fruit,Dry Mouth,Dizzy,Dry Eyes,Anxious,Headache,width:100%,width:96%,width:70%,width:26%,width:22%,616,4.1,Hybrid
Happy,Uplifted,Creative,Euphoric,Energetic,width:100%,width:71%,width:69%,width:69%,width:66%,1. Citrus,2. Earthy,3. Sweet,Jj,Pain,Depression,Fatigue,Nausea,Muscle Spasms,width:100%,width:56%,width:51%,width:43%,width:41%,Juicy Jack,Dry Mouth,Dizzy,Dry Eyes,Headache,Paranoid,width:100%,width:50%,width:50%,width:7%,width:2%,23,4.3,Hybrid
Happy,Uplifted,Energetic,Relaxed,Focused,width:100%,width:94%,width:94%,width:92%,width:79%,1. Skunk,2. Pine,3. Earthy,Jlt,Stress,Depression,Pain,Fatigue,Insomnia,width:100%,width:96%,width:96%,width:91%,width:44%,Juliet,Headache,Dizzy,Dry Mouth,Dry Eyes,,width:100%,width:96%,width:10%,width:3%,,20,4.6,Hybrid
Happy,Euphoric,Uplifted,Relaxed,Hungry,width:100%,width:83%,width:79%,width:62%,width:50%,1. Earthy,2. Sweet,3. Pine,Jul,Stress,Pain,Depression,Nausea,Lack of Appetite,width:100%,width:83%,width:72%,width:50%,width:38%,Julius Caesar,Dry Mouth,Dry Eyes,Dizzy,Anxious,,width:100%,width:54%,width:18%,width:9%,,30,4.5,Hybrid
Relaxed,Sleepy,Energetic,Happy,Uplifted,width:100%,width:92%,width:92%,width:92%,width:70%,1. Flowery,2. Citrus,3. Pine,Jju,Stress,Lack of Appetite,Depression,Fatigue,Headaches,width:100%,width:75%,width:50%,width:50%,width:50%,Jungle Juice,Dry Eyes,Dry Mouth,Paranoid,,,width:100%,width:100%,width:33%,,,15,4.3,Hybrid
Uplifted,Energetic,Euphoric,Focused,Hungry,width:100%,width:50%,width:50%,width:50%,width:50%,1. Berry,2. Earthy,3. Pine,Jsc,Depression,Headaches,Inflammation,Insomnia,Lack of Appetite,width:100%,width:100%,width:100%,width:100%,width:100%,Jungle Scout Cookies,Dry Eyes,Dry Mouth,,,,width:100%,width:100%,,,,3,4.3,Hybrid
Relaxed,,,,,width:100%,,,,,,,,Jsp,,,,,,,,,,,Jungle Spice,Dry Eyes,Dry Mouth,,,,width:100%,width:100%,,,,,,Hybrid
Relaxed,Sleepy,Hungry,Happy,Euphoric,width:100%,width:66%,width:51%,width:48%,width:43%,1. Earthy,2. Pungent,3. Flowery,Jup,Stress,Depression,Pain,Insomnia,Muscle Spasms,width:100%,width:91%,width:64%,width:54%,width:52%,Jupiter OG,Dry Mouth,Dry Eyes,Paranoid,Dizzy,Headache,width:100%,width:24%,width:3%,width:3%,width:1%,163,4.4,Indica
Happy,Relaxed,Uplifted,Hungry,Euphoric,width:100%,width:99%,width:98%,width:97%,width:70%,1. Lavender,2. Earthy,3. Tree Fruit,Kt,Pain,Stress,Depression,Fatigue,Insomnia,width:100%,width:94%,width:73%,width:52%,width:52%,K-Train,Dry Mouth,Dry Eyes,Dizzy,Paranoid,Headache,width:100%,width:99%,width:1%,width:1%,width:0%,32,4.5,Indica
Happy,Uplifted,Euphoric,Focused,Relaxed,width:100%,width:77%,width:77%,width:66%,width:66%,,,,K1,Stress,Pain,Fatigue,Depression,Headaches,width:100%,width:57%,width:42%,width:28%,width:28%,K1,Dry Mouth,Anxious,Dizzy,Dry Eyes,Paranoid,width:100%,width:66%,width:33%,width:33%,width:33%,18,4.1,Hybrid
Relaxed,Sleepy,Happy,Hungry,Energetic,width:100%,width:39%,width:37%,width:18%,width:12%,1. Earthy,2. Woody,3. Pine,K2,Stress,Pain,Depression,Insomnia,Nausea,width:100%,width:80%,width:80%,width:60%,width:40%,K2,Dry Mouth,Dry Eyes,Anxious,Dizzy,Headache,width:100%,width:85%,width:42%,width:42%,width:14%,47,4.0,Hybrid
Relaxed,Euphoric,Hungry,Happy,Uplifted,width:100%,width:62%,width:50%,width:50%,width:37%,1. Citrus,2. Lemon,3. Sweet,K33,Pain,Stress,Nausea,Headaches,Eye Pressure,width:100%,width:66%,width:66%,width:50%,width:33%,KC 33,Dry Mouth,Dizzy,,,,width:100%,width:50%,,,,11,4.4,Hybrid
Relaxed,Sleepy,Euphoric,Hungry,Uplifted,width:100%,width:100%,width:33%,width:33%,width:33%,1. Blueberry,2. Earthy,3. Flowery,K36,Fatigue,Depression,Stress,,,width:100%,width:50%,width:50%,,,KC 36,Dry Eyes,Dry Mouth,Paranoid,,,width:100%,width:100%,width:100%,,,4,4.3,Indica
Focused,Sleepy,Energetic,Relaxed,Uplifted,width:100%,width:100%,width:95%,width:70%,width:45%,1. Earthy,2. Woody,3. Tar,Ktd,Fatigue,Spasticity,Stress,Pain,Depression,width:100%,width:97%,width:29%,width:7%,width:5%,KT Dawg,Dry Mouth,Dry Eyes,,,,width:100%,width:20%,,,,13,4.2,Hybrid
Uplifted,Energetic,Focused,Hungry,Aroused,width:100%,width:99%,width:91%,width:86%,width:83%,1. Lemon,2. Earthy,3. Pine,Kab,Stress,Pain,Depression,Nausea,Fatigue,width:100%,width:79%,width:54%,width:41%,width:33%,Kaboom,Dry Mouth,Dry Eyes,Paranoid,Dizzy,Anxious,width:100%,width:66%,width:33%,width:20%,width:13%,66,4.5,Sativa
,,,,,,,,,,,,,Khv,,,,,,,,,,,Kahavvai Mode,,,,,,,,,,,,,Hybrid
Euphoric,Uplifted,Relaxed,Creative,Focused,width:100%,width:100%,width:80%,width:59%,width:59%,1. Orange,2. Pineapple,3. Pungent,Kah,Stress,Pain,Depression,Insomnia,Fatigue,width:100%,width:80%,width:59%,width:59%,width:20%,Kahuna,Dry Eyes,Dry Mouth,,,,width:100%,width:100%,,,,6,4.2,Indica
Happy,Relaxed,Tingly,Sleepy,Uplifted,width:100%,width:100%,width:74%,width:66%,width:37%,1. Spicy/Herbal,2. Lemon,3. Citrus,Kai,Depression,Lack of Appetite,Stress,Headaches,Nausea,width:100%,width:100%,width:100%,width:60%,width:60%,Kaia Kush,Dry Eyes,Dry Mouth,Anxious,Dizzy,Paranoid,width:100%,width:25%,width:10%,width:5%,width:5%,15,4.7,Hybrid
Aroused,Creative,Euphoric,Relaxed,Sleepy,width:100%,width:100%,width:100%,width:100%,width:100%,1. Mango,2. Berry,3. Earthy,Kpa,,,,,,,,,,,Kailua Pua,,,,,,,,,,,2,3.0,Hybrid
Euphoric,Happy,Tingly,Uplifted,Aroused,width:100%,width:100%,width:100%,width:100%,width:50%,,,,Kku,,,,,,,,,,,Kalalau Kush,Dry Eyes,,,,,width:100%,,,,,4,5.0,Hybrid
Relaxed,Happy,Focused,Uplifted,Euphoric,width:100%,width:98%,width:98%,width:76%,width:70%,1. Spicy/Herbal,2. Sweet,3. Pine,Kva,Pain,Stress,Muscle Spasms,Depression,Insomnia,width:100%,width:97%,width:93%,width:59%,width:41%,Kalashnikova,Dry Mouth,Headache,Dry Eyes,Paranoid,,width:100%,width:17%,width:11%,width:11%,,42,4.5,Hybrid
,,,,,,,,,,,,,Kdp,,,,,,,,,,,Kaleidos Dope,,,,,,,,,,,1,4.0,Hybrid
Energetic,Happy,Creative,Euphoric,Uplifted,width:100%,width:100%,width:65%,width:65%,width:65%,1. Sweet,2. Vanilla,,K47,Stress,Depression,Fatigue,Inflammation,Pain,width:100%,width:36%,width:36%,width:36%,width:36%,Kali 47,,,,,,,,,,,8,5.0,Sativa
Creative,Happy,Uplifted,Focused,Relaxed,width:100%,width:90%,width:90%,width:81%,width:63%,1. Mango,2. Spicy/Herbal,3. Sweet,Kch,Depression,Insomnia,Pain,Nausea,Stress,width:100%,width:100%,width:100%,width:50%,width:50%,Kali China,,,,,,,,,,,6,4.5,Indica
Relaxed,Uplifted,Energetic,Euphoric,Creative,width:100%,width:98%,width:95%,width:94%,width:94%,1. Citrus,2. Lemon,3. Earthy,Kdg,Lack of Appetite,Stress,Pain,Eye Pressure,Headaches,width:100%,width:100%,width:8%,width:2%,width:2%,Kali Dog,Dry Mouth,Dizzy,Dry Eyes,Anxious,,width:100%,width:5%,width:5%,width:2%,,14,4.8,Hybrid
Creative,Uplifted,Happy,Euphoric,Energetic,width:100%,width:95%,width:84%,width:73%,width:71%,1. Earthy,2. Citrus,3. Woody,Km,Pain,Stress,Depression,Headaches,Inflammation,width:100%,width:91%,width:71%,width:30%,width:28%,Kali Mist,Dry Mouth,Dry Eyes,Headache,Paranoid,Anxious,width:100%,width:79%,width:70%,width:47%,width:13%,286,4.2,Sativa
Relaxed,Sleepy,Euphoric,Giggly,Uplifted,width:100%,width:90%,width:80%,width:20%,width:20%,1. Apricot,2. Earthy,3. Honey,Kdh,Insomnia,Stress,Eye Pressure,Depression,Pain,width:100%,width:77%,width:66%,width:11%,width:11%,Kandahar,Dry Mouth,Dizzy,Dry Eyes,Headache,,width:100%,width:50%,width:50%,width:50%,,6,4.7,Indica
Happy,Relaxed,Euphoric,Uplifted,Creative,width:100%,width:99%,width:76%,width:55%,width:39%,1. Sweet,2. Lemon,3. Earthy,Kan,Stress,Pain,Depression,Lack of Appetite,Insomnia,width:100%,width:79%,width:73%,width:61%,width:46%,Kandy Kush,Dry Mouth,Dry Eyes,Dizzy,Headache,Anxious,width:100%,width:52%,width:24%,width:16%,width:16%,508,4.3,Hybrid
Uplifted,Euphoric,Giggly,Happy,Relaxed,width:100%,width:100%,width:100%,width:100%,width:100%,,,,Kpd,Cramps,Depression,Headaches,Insomnia,Lack of Appetite,width:100%,width:100%,width:100%,width:100%,width:100%,Kaptn’s Grand Dream,Dry Mouth,Anxious,Headache,Paranoid,Dry Eyes,width:100%,width:71%,width:71%,width:71%,width:42%,3,5.0,Hybrid
Happy,Relaxed,Hungry,Sleepy,Creative,width:100%,width:100%,width:66%,width:66%,width:33%,1. Mango,2. Earthy,3. Peach,Kam,Headaches,Insomnia,Lack of Appetite,Stress,,width:100%,width:100%,width:100%,width:100%,,Karibbean Mango,Anxious,Dry Eyes,Dry Mouth,,,width:100%,width:100%,width:100%,,,2,4.5,Indica
Relaxed,Uplifted,Happy,Creative,Focused,width:100%,width:36%,width:36%,width:28%,width:24%,1. Earthy,2. Coffee,3. Tea,Kmb,Stress,Depression,Lack of Appetite,Pain,Muscle Spasms,width:100%,width:75%,width:50%,width:50%,width:25%,Karma Bitch,Dry Eyes,Dry Mouth,Dizzy,,,width:100%,width:14%,width:4%,,,26,4.3,Hybrid
